64位十进制	64位hex	thin(高32位十进制)	来源	名称/路径
1117	000000000000045d	0	Excel	Panzer Division
1118	000000000000045e	0	Excel	Assault Division
1119	000000000000045f	0	Excel	Phalanx Division
1120	0000000000000460	0	Excel	Acid Brood
1121	0000000000000461	0	Excel	Predator Brood
1122	0000000000000462	0	Excel	Armored Brood
1124	0000000000000464	0	Excel	飞行延误(+100秒 撤离时间)
1125	0000000000000465	0	Excel	超级制空权(-200秒 撤离时间)
1126	0000000000000466	0	Excel	未知(1126)
1127	0000000000000467	0	Excel	飞鹰500kg 炸弹 v3
1128	0000000000000468	0	Excel	飞鹰500kg 炸弹 v4
1129	0000000000000469	0	Excel	SH-32 护盾生成背包
1130	000000000000046a	0	Excel	A/ARC-3 特斯拉塔 v2
1131	000000000000046b	0	Excel	未知(1131)
1132	000000000000046c	0	Excel	未知(1132)
1133	000000000000046d	0	Excel	A/M-12 迫击哨戒炮
1134	000000000000046e	0	Excel	弹药紧缺(-50% 弹匣)
1135	000000000000046f	0	Excel+cheat	磁轨炮冷却时间减少(-90%)
1136	0000000000000470	0	Excel	未知(1136)
1137	0000000000000471	0	Excel	RS-422 磁轨炮 v2
1138	0000000000000472	0	Excel	结算奖励倍率(未知)
1139	0000000000000473	0	Excel	飞鹰凝固汽油弹空袭 v2
1140	0000000000000474	0	Excel	弹药紧缺(-50% 弹匣)
1141	0000000000000475	0	Excel	未知(1141)
1142	0000000000000476	0	Excel	飞鹰500kg 炸弹
1143	0000000000000477	0	Excel	MG-43 机枪
1144	0000000000000478	0	Excel	弹药紧缺(-50% 弹匣)
1145	0000000000000479	0	Excel	轨道激光炮
1147	000000000000047b	0	Excel	轨道电磁冲击波攻击
1148	000000000000047c	0	Excel	EXO-45 爱国者外骨骼 v2
1149	000000000000047d	0	Excel	LIFT-850 喷射背包
1150	000000000000047e	0	Excel	补给背包
1152	0000000000000480	0	Excel	APW-1 反器材步枪
1153	0000000000000481	0	Excel	RS-422 磁轨炮
1154	0000000000000482	0	Excel	轨道炮攻击
1155	0000000000000483	0	Excel	AC-8 机炮 v2
1156	0000000000000484	0	Excel	飞鹰110mm火箭巢
1159	0000000000000487	0	Excel	核算修正(+50% 经验值与申购单)
1160	0000000000000488	0	Excel	轨道电磁冲击波攻击 v2
1161	0000000000000489	0	Excel	飞鹰凝固汽油弹空袭
1162	000000000000048a	0	Excel	EXO-45 爱国者外骨骼
1163	000000000000048b	0	Excel	飞鹰110mm火箭巢 v2
1165	000000000000048d	0	Excel	LIFT-850 喷射背包 v2
1166	000000000000048e	0	Excel	飞鹰500kg 炸弹 v2
1167	000000000000048f	0	Excel	FLAM-40 火焰喷射器
1168	0000000000000490	0	Excel	LAS-99 类星体加农炮
1169	0000000000000491	0	Excel	EAT-17 消耗性反坦克武器(次抛)
1170	0000000000000492	0	Excel	RL-77 空爆火箭弹发射器
1171	0000000000000493	0	Excel	MD-17 反坦克地雷 v2
1172	0000000000000494	0	Excel	轨道毒气攻击
1173	0000000000000495	0	Excel	EXO-49 解放者外骨骼
1174	0000000000000496	0	Excel	A/M-23 电磁冲击波迫击哨戒炮
1175	0000000000000497	0	Excel	未知
1176	0000000000000498	0	Excel	未知(1176)
1177	0000000000000499	0	Excel	未知(1177)
1178	000000000000049a	0	Excel	FX-12 护盾生成中继器
1179	000000000000049b	0	Excel	AC-8 机炮
1181	000000000000049d	0	Excel	MLS-4X 突击兵
1182	000000000000049e	0	Excel	制空权(-90秒 撤离时间)
1183	000000000000049f	0	Excel	飞行延误(+30秒 撤离时间)
1184	00000000000004a0	0	Excel	MD-14 燃烧地雷
1185	00000000000004a1	0	Excel	MD-6 反步兵雷区
1186	00000000000004a2	0	Excel	轻度阴霾
1187	00000000000004a3	0	Excel	阴霾
1188	00000000000004a4	0	Excel	浓密阴霾
1189	00000000000004a5	0	Excel	轻度阴霾 v2
1190	00000000000004a6	0	Excel	不可到达
1191	00000000000004a7	0	Excel	穿刺虫激增 (+0% 生成)
1192	00000000000004a8	0	Excel	穿刺虫激增 (-100% 生成)
1193	00000000000004a9	0	Excel	阴霾边界
1194	00000000000004aa	0	Excel	轨道凝固汽油弹火力网
1195	00000000000004ab	0	Excel	DSS 建设工地 - 第一阶段
1196	00000000000004ac	0	Excel	DSS 后勤枢纽
1197	00000000000004ad	0	Excel	外星昆虫学中心
1198	00000000000004ae	0	Excel	深地幔锻造综合体
1199	00000000000004af	0	Excel	DSS 建设工地 - 第二阶段
1200	00000000000004b0	0	Excel	A/ARC-3 特斯拉塔
1201	00000000000004b1	0	Excel	未知(1201)
1202	00000000000004b2	0	Excel	喷气旅
1203	00000000000004b3	0	Excel	喷气旅 (图标)
1204	00000000000004b4	0	Excel	自由日庆典
1205	00000000000004b5	0	Excel	DSS 建设工地 - 第三阶段
1206	00000000000004b6	0	Excel	虫族研究保护区
1207	00000000000004b7	0	Excel	E/MG-101 重机枪部署支架
1208	00000000000004b8	0	Excel	星球轰炸
1209	00000000000004b9	0	Excel	飞鹰风暴
1210	00000000000004ba	0	Excel	轨道封锁
1211	00000000000004bb	0	Excel	星球轰炸 (图标)
1212	00000000000004bc	0	Excel	飞鹰风暴 (图标)
1213	00000000000004bd	0	Excel	轨道封锁 (图标)
1214	00000000000004be	0	Excel	未知(1214)
1215	00000000000004bf	0	Excel	轨道封锁 (屏蔽防御战役)
1216	00000000000004c0	0	Excel	飞鹰风暴 (减缓防御战役)
1217	00000000000004c1	0	Excel	民主空间站
1218	00000000000004c2	0	Excel	未知(1218)
1219	00000000000004c3	0	Excel	再生覆盖
1220	00000000000004c4	0	Excel	再生覆盖 v2
1222	00000000000004c6	0	Excel	再生覆盖 v3
1223	00000000000004c7	0	Excel	增援强化资源
1224	00000000000004c8	0	Excel	增援强化资源 v2
1226	00000000000004ca	0	Excel	FAF-14 飞矛
1227	00000000000004cb	0	Excel	MG-43 机枪 v2
1228	00000000000004cc	0	Excel	默里迪亚黑洞(稳定)
1229	00000000000004cd	0	Excel	默里迪亚黑洞(不稳定)
1230	00000000000004ce	0	Excel	默里迪亚黑洞(已锁定)
1231	00000000000004cf	0	Excel	MD-8 毒气地雷
1232	00000000000004d0	0	Excel	工厂枢纽
1233	00000000000004d1	0	Excel	StA-X3 W.A.S.P.发射器
1234	00000000000004d2	0	Excel	科学中心
1235	00000000000004d3	0	Excel	MD-17 反坦克地雷
1236	00000000000004d4	0	Excel	平民监控与安全中心
1237	00000000000004d5	0	Excel	轨道380mm高爆弹火力网
1238	00000000000004d6	0	Excel	DSS 作战支援
1239	00000000000004d7	0	Excel	喷气旅孵化厂
1241	00000000000004d9	0	Excel	破裂星球
